Sl No.,State,Population,Deaths,Abbrev
1,Alabama,"4,833,722",723,AL
2,Alaska,"735,132",124,AK
3,Arizona,"6,626,624","1,211",AZ
4,Arkansas,"2,959,373",356,AR
5,California,"38,332,521","4,521",CA
6,Colorado,"5,268,367",899,CO
7,Connecticut,"3,596,080",623,CT
8,Delaware,"925,749",189,DE
9,Florida,"19,552,860","2,634",FL
10,Georgia,"9,992,167","1,206",GA
11,Hawaii,"1,404,054",157,HI
12,Idaho,"1,612,136",212,ID
13,Illinois,"12,882,135","1,705",IL
14,Indiana,"6,570,902","1,172",IN
15,Iowa,"3,090,416",264,IA
16,Kansas,"2,893,957",332,KS
17,Kentucky,"4,395,295","1,077",KY
18,Louisiana,"4,625,470",777,LA
19,Maine,"1,328,302",216,ME
20,Maryland,"5,928,814","1,070",MD
21,Massachusetts,"6,692,824","1,289",MA
22,Michigan,"9,895,622","1,762",MI
23,Minnesota,"5,420,380",517,MN
24,Mississippi,"2,991,207",336,MS
25,Missouri,"6,044,171","1,067",MO
26,Montana,"1,015,165",125,MT
27,Nebraska,"1,868,516",125,NE
28,Nevada,"2,790,136",545,NV
29,New Hampshire,"1,323,459",334,NH
30,New Jersey,"8,899,339","1,253",NJ
31,New Mexico,"2,085,287",547,NM
32,New York,"19,651,127","2,300",NY
33,North Carolina,"9,848,060","1,358",NC
34,North Dakota,"723,393",43,ND
35,Ohio,"11,570,808","2,744",OH
36,Oklahoma,"3,850,568",777,OK
37,Oregon,"3,930,065",522,OR
38,Pennsylvania,"12,773,801","2,732",PA
39,Rhode Island,"1,051,511",247,RI
40,South Carolina,"4,774,839",701,SC
41,South Dakota,"844,877",63,SD
42,Tennessee,"6,495,978","1,269",TN
43,Texas,"26,448,193","2,601",TX
44,Utah,"2,900,872",603,UT
45,Vermont,"626,630",83,VT
46,Virginia,"8,260,405",980,VA
47,Washington,"6,971,406",979,WA
48,West Virginia,"1,854,304",627,WV
49,Wisconsin,"5,742,713",853,WI
50,Wyoming,"582,658",109,WY
