"","State","Men","Women","Hispanic","White","Black","Native","Asian","Pacific","VotingAgeCitizen","Income","IncomeErr","IncomePerCap","IncomePerCapErr","Poverty","ChildPoverty","Professional","Service","Office","Construction","Production","Drive","Carpool","Transit","Walk","OtherTransp","WorkAtHome","MeanCommute","Employed","PrivateWork","PublicWork","SelfEmployed","FamilyWork","Unemployment","TotalPop"
"1","Texas",280,284,88.5,11.3,0,0,0.2,0,296,24800,15011,13705,4641,24.8,29.9,19.1,28.4,24,28.4,0,97.2,0,0,2.8,0,0,16.3,183,66.1,33.9,0,0,0,564
"2","Texas",792,628,40.6,59.4,0,0,0,0,855,64886,26246,32885,6824,11.6,6.1,45.3,9.6,17.5,11.1,16.6,77.7,3.8,0,9.9,1.2,7.4,20.6,669,76.8,14.1,9.1,0,0,1420
"3","New Mexico",1861,1686,15.8,83.3,0.3,0.1,0.3,0,3023,42047,6181,22487,2766,21.5,33.1,39.2,12.5,29.6,17.4,1.3,58.1,4.6,0,17.6,3.7,15.9,14.6,919,60.4,24.9,14.7,0,0,3547
"4","Nevada",849,879,1.6,96.7,0.1,1.7,0,0,1306,67159,29806,35606,5205,10,0,30.6,13.6,17.7,25.3,12.7,53.4,8.8,8.6,24.7,0,4.4,22.5,904,55.1,28.4,16.5,0,0,1728
"5","Wyoming",1098,1381,4.3,89,0.1,4.1,0.7,0,1999,36793,5518,23370,2969,14.9,13.5,31.6,25.1,19.4,9,14.9,67.5,8.4,0.4,13.1,3.2,7.4,15.1,1067,43.4,39.9,16.7,0,0,2479
"6","Texas",39,35,16.2,74.3,0,5.4,0,0,59,80938,32455,35530,10371,17.1,0,33.3,0,12.8,5.1,48.7,71.8,12.8,0,7.7,0,7.7,22.4,39,53.8,28.2,17.9,0,0,74
"7","Nebraska",647,609,3.8,90,0.4,0.2,0.2,0,998,45375,7960,26852,2789,12.4,18.7,55.6,8.2,16.5,14.4,5.3,55.5,9.8,0,15.6,0.8,18.3,18.9,660,61.7,18.8,19.5,0,0,1256
"8","Nebraska",221,211,0.9,96.8,0,0,0,0,335,60714,10396,27241,4094,16,21.6,33.3,12,26.7,9.8,18.2,47.1,10.8,0,17,4.9,20.2,30.1,225,69.3,4.4,25.8,0.4,0,432
"9","Montana",560,526,0.2,99.8,0,0,0,0,861,47188,9425,29896,4059,5.1,1.8,53.3,8.9,16.8,16.1,4.9,66.7,3.8,0.5,8,2.6,18.3,12,576,41.7,18.2,36.8,3.3,0,1086
"10","Montana",377,413,2.4,94.6,0,0,1.5,0,634,42454,5000,22880,3156,17,25.6,35.6,12.4,22.7,25,4.4,70.2,5,0,10.7,2.6,11.5,17.6,388,66.8,19.1,10.3,3.9,0,790
"11","South Dakota",955,1079,2.2,96.3,0,0.4,0,0,1522,49882,2919,38776,7622,8.9,5.4,30.2,16.5,18,15.7,19.6,73.6,11.8,1.4,6.1,1.5,5.6,15.5,987,70.6,9.8,19.6,0,0.2,2034
"12","South Dakota",1196,1131,1.2,94.7,0,3.8,0.1,0,1839,46750,12352,29714,3473,10.9,0.9,41.3,20.4,15.3,11.9,11.1,65.8,7.1,0,14.2,0.3,12.6,12.2,1120,53.2,22.2,24.4,0.2,0.3,2327
"13","Texas",2622,1236,53,44.9,0.7,0.1,1,0,2114,46696,9020,17513,2719,8.5,13.8,30.8,16,22.5,20,10.7,79.3,12.1,0,3.5,0,5.1,22.5,1023,55,25.9,19.1,0,0.4,3858
